Isolate,tmp,r,t.r,lag,maxOD.fit
I10,23,0.634065222,4.2625,2.953919005,0.258443947
I11,23,0.770568286,4.8025,3.751586339,0.450426918
I2,23,0.607495791,3.4325,2.130502284,0.374147958
I3,23,0.647071112,6.4125,4.909852368,0.211097393
I4,23,0.556129941,5.7125,4.051245674,0.261515992
I5,23,0.850914864,2.4,1.135786843,0.310868794
I6,23,0.683210094,3.93,2.358782205,0.408598281
I7,23,0.602764547,10.3475,9.14722629,0.110348625
I9,23,0.861831559,4.305,3.116579674,0.478615019
I10,28,0.68631116,5.38,4.399535583,0.274704868
I11,28,0.666597147,3.8075,2.665693761,0.460617311
I2,28,0.34268216,8.565,6.172616551,0.355643251
I3,28,0.550864413,4.5525,3.293027177,0.251645079
I4,28,0.516312064,5.09,3.499900214,0.258811844
I5,28,0.747356225,1.82,0.501569651,0.355884926
I6,28,0.433670938,3.8075,2.175369754,0.397791355
I7,28,0.298491688,14.94,12.36989003,0.128875557
I9,28,0.749700515,4.18,3.218361442,0.41877217
I10,30,0.869736524,6.2075,5.079279074,0.240208368
I11,30,0.882415442,2.7725,1.920162338,0.442431104
I2,30,0.567592064,1.82,0.297499856,0.032581785
I3,30,0.424515459,4.925,3.217626051,0.247528142
I4,30,0.485308718,4.4675,3.281589651,0.252688367
I5,30,0.758887101,2.4,0.913667096,0.348312819
I6,30,0.607791635,3.0625,2.150511063,0.412988704
I7,30,0.339707413,8.565,6.333311367,0.160461225
I9,30,0.592891796,5.5875,4.254333065,0.389292806
